,House 2 BR,House 3 BR,Unit 1 BR,Unit 2 BR,Unit 3 BR,House 4 BR,House 5 BR,House 1 BR
Donnybrook,,577000.0,,,,665000.0,825000.0,
Kalkallo,545000.0,559000.0,,,,658000.0,826000.0,
Mickleham,,587000.0,,,,700000.0,885000.0,
Roxburgh Park,,600000.0,,,,690000.0,808000.0,
Fitzroy,1264000.0,1788000.0,539000.0,806000.0,1750000.0,1920000.0,,
Collingwood,980000.0,1400000.0,447000.0,689000.0,1255000.0,,,
Abbotsford,1116000.0,1220000.0,384000.0,579000.0,945000.0,,,
Clifton Hill,1290000.0,1450000.0,397000.0,730000.0,,2353000.0,,
Fitzroy North,1240000.0,1603000.0,438000.0,720000.0,,2275000.0,,
Northcote,1208000.0,1511000.0,401000.0,656000.0,1170000.0,2160000.0,2350000.0,
Thornbury,1148000.0,1355000.0,371000.0,630000.0,1020000.0,1620000.0,,
Preston,850000.0,1125000.0,379000.0,535000.0,1000000.0,1415000.0,1664000.0,
Reservoir,675000.0,850000.0,400000.0,570000.0,741000.0,1085000.0,1205000.0,
Thomastown,680000.0,700000.0,,480000.0,538000.0,820000.0,,
Lalor,600000.0,685000.0,,468000.0,622000.0,771000.0,958000.0,
Epping,500000.0,650000.0,310000.0,455000.0,535000.0,760000.0,868000.0,
Alphington,903000.0,1613000.0,342000.0,700000.0,,2025999.0,,
Fairfield,875000.0,1330000.0,365000.0,640000.0,,2158000.0,,
Ivanhoe,1044999.0,1353000.0,430000.0,680000.0,1099000.0,1865000.0,2191000.0,
Ivanhoe East,,2007000.0,,705000.0,1450000.0,2675000.0,,
Bellfield,,902000.0,,,,,,
Heidelberg Heights,740000.0,880000.0,,680000.0,798000.0,1105000.0,,
Heidelberg West,721000.0,745000.0,422000.0,453000.0,,,,
Mill Park,608000.0,745000.0,,410000.0,585000.0,881000.0,1080000.0,
Bundoora,639000.0,805000.0,324000.0,435000.0,679000.0,989000.0,1250000.0,
Kingsbury,,800000.0,,536000.0,,,,
Eaglemont,,1820000.0,,,,2150000.0,2950000.0,
Heidelberg,,1020000.0,425000.0,602000.0,928000.0,1381000.0,,
Rosanna,830000.0,1224000.0,,740000.0,,1535000.0,,
Viewbank,,1075000.0,,,,1240000.0,,
Macleod,875000.0,978000.0,,655000.0,891000.0,1421000.0,,
Yallambie,,880000.0,,,,1118000.0,,
Watsonia,781000.0,937000.0,,,,1076000.0,,
Watsonia North,,870000.0,,,,1145000.0,,
Briar Hill,,966000.0,,,867000.0,1172000.0,,
Greensborough,778000.0,950000.0,,620000.0,792000.0,1130000.0,1338000.0,
St Helena,,1176000.0,,,,1195000.0,,
Diamond Creek,,908000.0,,,850000.0,1200000.0,1300000.0,
Plenty,,,,,,1523000.0,,
Yarrambat,,,,,,,,
Lower Plenty,,1200000.0,,590000.0,,1650000.0,,
Montmorency,858000.0,1060000.0,,612000.0,921000.0,1220000.0,,
Eltham,741000.0,993000.0,,626000.0,845000.0,1308000.0,1580000.0,
Eltham North,,1004999.0,,,,1260000.0,1391000.0,
Research,,,,,,1483000.0,,
Wattle Glen,,911000.0,,,,,,
Bend Of Islands,,,,,,,,
Kangaroo Ground,,,,,,,,
Arthurs Creek,,,,,,,,
Cottles Bridge,,,,,,,,
Hurstbridge,,875000.0,,,,941000.0,,
Kew,1350000.0,1909000.0,490000.0,671000.0,1290000.0,2810000.0,3975000.0,
Kew East,1513000.0,1815000.0,,620000.0,,2283000.0,,
Balwyn,1493000.0,2210000.0,380000.0,669000.0,1400000.0,2868000.0,3765000.0,
