,House 2 BR,House 3 BR,Unit 1 BR,Unit 2 BR,Unit 3 BR,House 4 BR,House 5 BR,House 1 BR
Bacchus Marsh,,565000.0,,406000.0,,674000.0,,
Coimadai,,,,,,,,
Darley,,580000.0,,,,750000.0,910000.0,
Hopetoun Park,,,,,,,,
Long Forest,,,,,,,,
Maddingley,,570000.0,,,,668000.0,,
Merrimu,,,,,,,,
Parwan,,,,,,,,
Rowsley,,,,,,,,
Dales Creek,,,,,,,,
Greendale,,,,,,,,
Myrniong,,,,,,,,
Pentland Hills,,,,,,,,
Ballan,,610000.0,,,,715000.0,,
Beremboke,,,,,,,,
Ingliston,,,,,,,,
Gordon,,720000.0,,,,983000.0,,
Alfredton,,550000.0,,,,652000.0,809000.0,
Bakery Hill,,,,,,,,
Ballarat Central,472000.0,550000.0,,,,720000.0,,
Ballarat East,397000.0,470000.0,,,,660000.0,,
Ballarat North,385000.0,527000.0,,,,648000.0,,
Black Hill,,558000.0,,,,668000.0,,
Brown Hill,358000.0,490000.0,,,,750000.0,,
Canadian,415000.0,483000.0,,,,625000.0,,
Eureka,,,,,,,,
Golden Point,,490000.0,,,,720000.0,,
Invermay Park,,511000.0,,,,700000.0,,
Lake Wendouree,665000.0,970000.0,,,,1648000.0,,
Mount Clear,,463000.0,,,,657000.0,,
Mount Helen,,533000.0,,,,670000.0,,
Mount Pleasant,,438000.0,,,,600000.0,,
Nerrina,,,,,,,,
Newington,,590000.0,,,,,,
Redan,383000.0,460000.0,,,,,,
Soldiers Hill,465000.0,585000.0,,,,740000.0,,
Berringa,,,,,,,,
Cape Clear,,,,,,,,
Haddon,,,,,,,,
Hillcrest,,,,,,,,
Lake Bolac,,,,,,,,
Newtown,,,,,,,,
Ross Creek,,,,,,,,
Scarsdale,,,,,,,,
Smythes Creek,,535000.0,,,,530000.0,,
Smythesdale,,,,,,,,
Snake Valley,,,,,,,,
Streatham,,,,,,,,
Bolwarrah,,,,,,,,
Bonshaw,,,,,,515000.0,,
Bungaree,,,,,,,,
Bunkers Hill,,,,,,,,
Cambrian Hill,,,,,,,,
Cardigan,,,,,,,,
Cardigan Village,,,,,,,,
Clarendon,,,,,,,,
Corindhap,,,,,,,,
Dereel,,,,,,,,
Dunnstown,,,,,,,,
Durham Lead,,,,,,,,
Enfield,,,,,,,,
Garibaldi,,,,,,,,
Grenville,,,,,,,,
Invermay,,,,,,,,
Lal Lal,,,,,,,,
Learmonth,,,,,,,,
Leigh Creek,,,,,,,,
Lexton,,,,,,,,
Magpie,,,,,,,,
Miners Rest,,533000.0,,,,615000.0,,
Mount Egerton,,850000.0,,,,,,
Mount Mercer,,,,,,,,
Mount Rowan,,,,,,,,
Napoleons,,,,,,,,
Pootilla,,,,,,,,
Scotsburn,,,,,,,,
Sulky,,,,,,,,
Warrenheip,,,,,,,,
Waubra,,,,,,,,
Yendon,,,,,,,,
Lake Gardens,,650000.0,,,,825000.0,,
Mitchell Park,,,,,,,,
Wendouree,370000.0,431000.0,,320000.0,,488000.0,,
Delacombe,,477000.0,,,,600000.0,,
Sebastopol,345000.0,410000.0,,320000.0,382000.0,491000.0,,
Buninyong,,560000.0,,,,745000.0,,
Linton,,,,,,,,
Skipton,,,,,,,,
Creswick,460000.0,530000.0,,,,,,
Allendale,,,,,,,,
Blampied,,,,,,,,
Campbelltown,,,,,,,,
Kingston,,,,,,,,
Newlyn,,,,,,,,
Newlyn North,,,,,,,,
Smeaton,,,,,,,,
Springmount,,,,,,,,
Clunes,,563000.0,,,,540000.0,,
Amherst,,,,,,,,
Evansford,,,,,,,,
Mount Glasgow,,,,,,,,
Red Lion,,,,,,,,
Talbot,,,,,,,,
Beaufort,,365000.0,,,,540000.0,,
Raglan,,,,,,,,
Trawalla,,,,,,,,
Waterloo,,,,,,,,
Buangor,,,,,,,,
Ararat,287000.0,365000.0,,,,513000.0,,
Rossbridge,,,,,,,,
Wickliffe,,,,,,,,
Willaura,,,,,,,,
Stawell,255000.0,315000.0,,,,408000.0,,
Halls Gap,,,,,,,,
Lake Lonsdale,,,,,,,,
Pomonal,,,,,,,,
Barkly,,,,,,,,
Landsborough,,,,,,,,
Navarre,,,,,,,,
Marnoo,,,,,,,,
Rupanyup,,,,,,,,
Murtoa,,,,,,,,
Minyip,,179000.0,,,,,,
Warracknabeal,,223000.0,,,,,,
Beulah,,,,,,,,
Hopetoun,,200000.0,,,,,,
Horsham,269000.0,365000.0,,279000.0,,575000.0,,
Bungalally,,,,,,,,
Dooen,,,,,,,,
Haven,,,,,,800000.0,,
Jung,,,,,,,,
Lower Norton,,,,,,,,
Nurrabiel,,,,,,,,
Quantong,,,,,,,,
Riverside,,,,,,,,
Wartook,,,,,,,,
Balmoral,,,,,,,,
Clear Lake,,,,,,,,
Natimuk,,,,,,,,
Goroke,,,,,,,,
Dimboola,,260000.0,,,,,,
Nhill,,265000.0,,,,,,
Kaniva,,185000.0,,,,,,
Jeparit,,,,,,,,
Rainbow,,,,,,,,
Diggers Rest,,580000.0,,,,696000.0,,
Bulla,,,,,,,,
Sunbury,526000.0,605000.0,,456000.0,525000.0,715000.0,955000.0,
Wildwood,,,,,,,,
Clarkefield,,,,,,,,
Riddells Creek,,805000.0,,,,1038000.0,,
Bolinda,,,,,,,,
Kerrie,,,,,,,,
Romsey,,705000.0,,,,822000.0,,
Goldie,,,,,,,,
Lancefield,,625000.0,,,,806000.0,,
Bullengarook,,,,,,,,
Gisborne,,723000.0,,485000.0,600000.0,1032000.0,1175000.0,
Gisborne South,,,,,,,,
New Gisborne,,,,,,1053000.0,,
Macedon,,,,,,1208000.0,,
Mount Macedon,,,,,,,,
Ashbourne,,,,,,,,
Carlsruhe,,,,,,,,
Cobaw,,,,,,,,
Hesket,,,,,,,,
Newham,,,,,,,,
Woodend,753000.0,840000.0,,,,1258000.0,,
Woodend North,,,,,,,,
Barfold,,,,,,,,
Kyneton,,750000.0,,,,1030000.0,1250000.0,
Lauriston,,,,,,,,
Mia Mia,,,,,,,,
Pipers Creek,,,,,,,,
Redesdale,,,,,,,,
Spring Hill,,,,,,,,
Tylden,,,,,,,,
Drummond North,,,,,,,,
Malmsbury,,870000.0,,,,,,
Taradale,,,,,,,,
Elphinstone,,,,,,,,
Metcalfe,,,,,,,,
Sutton Grange,,,,,,,,
Castlemaine,650000.0,737000.0,,520000.0,,827000.0,,
Barkers Creek,,,,,,,,
Campbells Creek,,641000.0,,,,705000.0,,
Chewton,,,,,,,,
Faraday,,,,,,,,
Fryerstown,,,,,,,,
Golden Point,,,,,,,,
Guildford,,,,,,,,
Mckenzie Hill,,,,,,845000.0,,
Muckleford,,,,,,,,
Vaughan,,,,,,,,
Yapeen,,,,,,,,
Harcourt,,,,,,,,
Harcourt North,,,,,,,,
Ravenswood,,,,,,,,
Ravenswood South,,,,,,,,
Blackwood,,,,,,,,
Newbury,,,,,,,,
Trentham,,980000.0,,,,1138000.0,,
Trentham East,,,,,,,,
Daylesford,635000.0,903000.0,,,,1150000.0,,
Bullarto,,,,,,,,
Clydesdale,,,,,,,,
Coomoora,,,,,,,,
Denver,,,,,,,,
Eganstown,,,,,,,,
Franklinford,,,,,,,,
Glenlyon,,,,,,,,
Hepburn,,,,,,,,
Hepburn Springs,,,,,,,,
Korweinguboora,,,,,,,,
Leonards Hill,,,,,,,,
Lyonville,,,,,,,,
Mount Franklin,,,,,,,,
Musk,,,,,,,,
Porcupine Ridge,,,,,,,,
Sailors Falls,,,,,,,,
Sailors Hill,,,,,,,,
Shepherds Flat,,,,,,,,
Spargo Creek,,,,,,,,
Strangways,,,,,,,,
Wheatsheaf,,,,,,,,
Yandoit,,,,,,,,
Green Gully,,,,,,,,
Muckleford South,,,,,,,,
Newstead,,,,,,,,
Sandon,,,,,,,,
Welshmans Reef,,,,,,,,
Baringhup,,,,,,,,
Laanecoorie,,,,,,,,
Maldon,,685000.0,,,,,,
Walmer,,,,,,,,
Carisbrook,,,,,,,,
Alma,,,,,,,,
Bowenvale,,,,,,,,
Daisy Hill,,,,,,,,
Flagstaff,,,,,,,,
Homebush,,,,,,,,
Maryborough,344000.0,373000.0,,,,575000.0,,
Moonlight Flat,,,,,,,,
Timor,,,,,,,,
Avoca,,423000.0,,,,,,
Amphitheatre,,,,,,,,
Elmhurst,,,,,,,,
Glenpatrick,,,,,,,,
Dunolly,,,,,,,,
Eddington,,,,,,,,
Mcintyre,,,,,,,,
Bealiba,,,,,,,,
St Arnaud,,298000.0,,,,,,
Donald,,200000.0,,,,,,
Watchem,,,,,,,,
Birchip,,186000.0,,,,,,
Woomelang,,,,,,,,
Tempy,,,,,,,,
Ouyen,,231000.0,,,,,,
Carwarp,,,,,,,,
Colignan,,,,,,,,
Iraak,,,,,,,,
Cardross,,,,,,,,
Red Cliffs,263000.0,353000.0,,,,550000.0,,
Irymple,344000.0,505000.0,,,,758000.0,,
Mildura,320000.0,430000.0,,279000.0,410000.0,575000.0,686000.0,
Hattah,,,,,,,,
Nichols Point,,,,,,860000.0,,
Birdwoodton,,,,,,,,
Cabarita,,,,,,,,
Merbein,268000.0,345000.0,,,,,,
Merbein South,,,,,,,,
Merbein West,,,,,,,,
Underbool,,,,,,,,
Murrayville,,,,,,,,
Marong,,,,,,708000.0,,
Shelbourne,,,,,,,,
Bridgewater On Loddon,,,,,,,,
Inglewood,,,,,,,,
Serpentine,,,,,,,,
Wedderburn,,,,,,,,
Korong Vale,,,,,,,,
Pyalong,,,,,,,,
Glenhope East,,,,,,,,
Tooborac,,,,,,,,
Argyle,,,,,,,,
Heathcote,,538000.0,,,,645000.0,,
Knowsley,,,,,,,,
Mount Camel,,,,,,,,
Redcastle,,,,,,,,
Charlton,,265000.0,,,,,,
Wycheproof,,,,,,,,
Culgoa,,,,,,,,
Berriwillock,,,,,,,,
Sea Lake,,,,,,,,
Boort,,291000.0,,,,,,
Quambatook,,,,,,,,
Ultima,,,,,,,,
Manangatang,,,,,,,,
Robinvale,,400000.0,,,,444000.0,,
Bendigo,520000.0,570000.0,,375000.0,,1034999.0,,
East Bendigo,,574000.0,,,,,,
Flora Hill,,520000.0,,340000.0,456000.0,562000.0,,
Ironbark,,473000.0,,,,,,
Kennington,495000.0,553000.0,,400000.0,475000.0,715000.0,,
Long Gully,380000.0,450000.0,,,,,,
North Bendigo,,500000.0,,355000.0,,600000.0,,
Quarry Hill,,588000.0,,,,,,
Spring Gully,,615000.0,,,,775000.0,,
Strathdale,,570000.0,,,,750000.0,,
West Bendigo,,,,,,,,
White Hills,,495000.0,,,,600000.0,,
Ascot,,566000.0,,,,620000.0,,
Axe Creek,,,,,,,,
Axedale,,,,,,,,
Bagshot North,,,,,,,,
Emu Creek,,,,,,,,
Epsom,,539000.0,,,,630000.0,,
Huntly,,550000.0,,,,560000.0,,
Junortoun,,763000.0,,,,915000.0,,
Lockwood South,,,,,,1055000.0,,
Longlea,,,,,,,,
Maiden Gully,,685000.0,,,,830000.0,,
Mandurang,,,,,,,,
Mandurang South,,,,,,,,
Newbridge,,,,,,,,
Sedgwick,,,,,,,,
Strathfieldsaye,,625000.0,,,,722000.0,,
Tarnagulla,,,,,,,,
Toolleen,,,,,,,,
Wellsford,,,,,,,,
Golden Square,442000.0,500000.0,,368000.0,,684000.0,,
Kangaroo Flat,394000.0,509000.0,,325000.0,508000.0,620000.0,,
California Gully,,459000.0,,,,570000.0,,
Eaglehawk,385000.0,474000.0,,383000.0,,570000.0,,
Jackass Flat,,520000.0,,,,549000.0,,
Myers Flat,,,,,,,,
Sailors Gully,,,,,,,,
Sebastian,,,,,,,,
Woodvale,,,,,,,,
Goornong,,,,,,,,
Elmore,,,,,,,,
Colbinabbin,,,,,,,,
Corop,,,,,,,,
Rochester,,258000.0,,,,355000.0,,
Lockington,,,,,,,,
Echuca,445000.0,531000.0,,400000.0,,700000.0,,
Patho,,,,,,,,
Wharparilla,,,,,,,,
Gunbower,,,,,,,,
Leitchville,,,,,,,,
Cohuna,,340000.0,,,,,,
Kamarooka,,,,,,,,
Raywood,,,,,,,,
Pyramid Hill,,,,,,,,
Kerang,254000.0,308000.0,,,,400000.0,,
Murrabit,,,,,,,,
Mystic Park,,,,,,,,
Koondrook,,418000.0,,,,,,
Lake Charm,,,,,,,,
Lake Boga,,,,,,,,
Castle Donnington,,,,,,,,
Swan Hill,353000.0,420000.0,,,,670000.0,,
Tyntynder,,,,,,,,
Woorinen South,,,,,,,,
Vinifera,,,,,,,,
Nyah,,,,,,,,
Nyah West,,,,,,,,
Wood Wood,,,,,,,,
Boundary Bend,,,,,,,,
Graytown,,,,,,,,
Kirwans Bridge,,,,,,,,
Nagambie,,580000.0,,,,658000.0,,
Murchison,,,,,,,,
Murchison East,,,,,,,,
Murchison North,,,,,,,,
Rushworth,294000.0,390000.0,,,,,,
Waranga Shores,,,,,,,,
Toolamba,,,,,,,,
Harston,,,,,,,,
Tatura,369000.0,423000.0,,,,610000.0,,
Tatura East,,,,,,,,
Merrigum,,283000.0,,,,,,
Kyabram,345000.0,460000.0,,360000.0,,580000.0,,
Lancaster,,,,,,,,
Tongala,,418000.0,,,,,,
Stanhope,,370000.0,,,,,,
Girgarre,,,,,,,,
Ardmona,,,,,,,,
Mooroopna,285000.0,361000.0,,,,585000.0,,
Mooroopna North,,,,,,,,
Shepparton,388000.0,435000.0,,325000.0,,584000.0,620000.0,
Arcadia,,,,,,,,
Grahamvale,,,,,,,,
Kialla,,593000.0,,,,703000.0,,
Kialla East,,,,,,,,
Kialla West,,,,,,,,
Orrvale,,,,,,,,
Shepparton East,,,,,,,,
Shepparton North,,,,,,628000.0,,
Congupna,,,,,,,,
Katandra West,,,,,,,,
Tallygaroopna,,,,,,,,
Invergordon,,,,,,,,
Numurkah,,390000.0,,238000.0,,515000.0,,
Waaia,,,,,,,,
Nathalia,,360000.0,,,,,,
Barmah,,,,,,,,
Picola,,,,,,,,
Katunga,,,,,,,,
Bearii,,,,,,,,
Strathmerton,,,,,,,,
Cobram,325000.0,389000.0,,,,678000.0,,
Cobram East,,,,,,,,
Koonoomoo,,,,,,,,
Muckatah,,,,,,,,
Yarroweyah,,,,,,,,
Dookie,,,,,,,,
Katamatite,,,,,,,,
Broadford,,516000.0,,,,665000.0,,
Reedy Creek,,,,,,,,
Strath Creek,,,,,,,,
Sugarloaf Creek,,,,,,,,
Tallarook,,,,,,,,
Highlands,,,,,,,,
Northwood,,,,,,,,
Seymour,,450000.0,,,,600000.0,,
Whiteheads Creek,,,,,,,,
Avenel,,575000.0,,,,,,
Longwood,,,,,,,,
Euroa,,525000.0,,,,633000.0,,
Longwood East,,,,,,,,
Strathbogie,,,,,,,,
Violet Town,,500000.0,,,,,,
Baddaginnie,,,,,,,,
Warrenbayne,,,,,,,,
Benalla,340000.0,419000.0,,280000.0,,590000.0,,
Swanpool,,,,,,,,
Tatong,,,,,,,,
Glenrowan,,,,,,,,
Wangaratta,360000.0,480000.0,,327000.0,,700000.0,985000.0,
Cheshunt,,,,,,,,
Milawa,,,,,,,,
North Wangaratta,,,,,,,,
Oxley,,,,,,,,
Peechelba,,,,,,,,
Tarrawingee,,,,,,,,
Waldara,,,,,,,,
Wangaratta South,,,,,,,,
Springhurst,,,,,,,,
Chiltern,,434000.0,,,,,,
Boorhaman North,,,,,,,,
Rutherglen,,485000.0,,,,675000.0,,
Wahgunyah,,,,,,,,
Barnawartha,,,,,,,,
West Wodonga,377000.0,505000.0,,348000.0,,630000.0,,
Wodonga,390000.0,466000.0,,335000.0,517000.0,633000.0,840000.0,
Bandiana,,,,,,627000.0,,
Baranduda,,550000.0,,,,695000.0,,
Bellbridge,,,,,,,,
Ebden,,,,,,,,
Huon Creek,,,,,,,,
Kiewa,,,,,,,,
Killara,,,,,,653000.0,,
Leneva,,598000.0,,,,685000.0,,
Staghorn Flat,,,,,,,,
Tangambalanga,,,,,,702000.0,,
Huon,,,,,,,,
Tawonga,,,,,,,,
Falls Creek,,,,,,,,
Mount Beauty,,665000.0,,,,,,
Tallangatta,,478000.0,,,,,,
Dartmouth,,,,,,,,
Eskdale,,,,,,,,
Old Tallangatta,,,,,,,,
Corryong,,,,,,,,
Tintaldra,,,,,,,,
Pine Mountain,,,,,,,,
Walwa,,,,,,,,
Buxton,,,,,,,,
Thornton,,,,,,,,
Eildon,,519000.0,,,,,,
Taylor Bay,,,,,,,,
Alexandra,,498000.0,,,,762000.0,,
Koriella,,,,,,,,
Maintongoon,,,,,,,,
Merton,,,,,,,,
Flowerdale,,,,,,,,
Glenburn,,,,,,,,
Yea,,565000.0,,,,665000.0,,
Bonnie Doon,,770000.0,,,,,,
Mansfield,,690000.0,,,,1014999.0,,
Gaffneys Creek,,,,,,,,
Goughs Bay,,,,,,,,
Howqua Inlet,,,,,,,,
Jamieson,,,,,,,,
Kevington,,,,,,,,
Macs Cove,,,,,,,,
Maindample,,,,,,,,
Merrijig,,,,,,,,
Mount Buller,,,,,,,,
Sawmill Settlement,,,,,,,,
Tolmie,,,,,,,,
Woods Point,,,,,,,,
Goorambat,,,,,,,,
Stewarton,,,,,,,,
Tungamah,,,,,,,,
Wilby,,,,,,,,
Bathumi,,,,,,,,
Bundalong,,,,,,,,
Burramine South,,,,,,,,
Yarrawonga,410000.0,600000.0,,400000.0,,778000.0,,
Moyhu,,,,,,,,
Whitfield,,,,,,,,
Whorouly East,,,,,,,,
Gapsted,,,,,,,,
Myrtleford,,580000.0,,,,750000.0,,
Nug Nug,,,,,,,,
Ovens,,,,,,,,
Eurobin,,,,,,,,
Porepunkah,,,,,,,,
Bright,,926000.0,,,,1150000.0,,
Freeburgh,,,,,,,,
Harrietville,,,,,,,,
Wandiligong,,,,,,,,
Eldorado,,,,,,,,
Beechworth,,783000.0,,,,960000.0,,
Stanley,,,,,,,,
Wooragee,,,,,,,,
Yackandandah,,772000.0,,,,,,
Wollert,489000.0,590000.0,,383000.0,,725000.0,940000.0,
Woodstock,,,,,,,,
South Morang,535000.0,644000.0,,460000.0,580000.0,840000.0,975000.0,
Beveridge,,609000.0,,,,666000.0,738000.0,
Doreen,550000.0,668000.0,,,555000.0,789000.0,1230000.0,
Mernda,522000.0,640000.0,,430000.0,,724000.0,1004999.0,
Yan Yean,,,,,,,,
Chintin,,,,,,,,
Darraweit Guim,,,,,,,,
Upper Plenty,,,,,,,,
Wallan,,575000.0,,400000.0,470000.0,635000.0,1046999.0,
Eden Park,,,,,,,,
Humevale,,,,,,,,
Kinglake Central,,,,,,,,
Kinglake West,,,,,,,,
Pheasant Creek,,,,,,,,
Whittlesea,,666000.0,,420000.0,,855000.0,,
Heathcote Junction,,,,,,,,
Wandong,,,,,,,,
Panton Hill,,,,,,,,
Smiths Gully,,,,,,,,
Kinglake,,802000.0,,,,963000.0,,
Kilmore,409000.0,573000.0,,,,670000.0,,
Kilmore East,,,,,,,,
Montrose,,803000.0,,,,990000.0,1233000.0,
Kalorama,,,,,,990000.0,,
Mount Dandenong,,815000.0,,,,,,
Coldstream,,742000.0,,,,,,
Gruyere,,,,,,,,
Yering,,,,,,,,
Christmas Hills,,,,,,,,
Dixons Creek,,,,,,,,
Steels Creek,,,,,,,,
Yarra Glen,,784000.0,,,,948000.0,,
Badger Creek,,673000.0,,,,,,
Castella,,,,,,,,
Chum Creek,,,,,,899000.0,,
Healesville,633000.0,758000.0,,,655000.0,905000.0,,
Mount Toolebewong,,,,,,,,
Toolangi,,,,,,,,
Narbethong,,,,,,,,
Marysville,,680000.0,,,,,,
Cockatoo,,695000.0,,,,815000.0,,
Avonsleigh,,,,,,,,
Clematis,,,,,,,,
Emerald,,805000.0,,,,975000.0,,
Macclesfield,,,,,,,,
Gembrook,,848000.0,,,,993000.0,,
Ferny Creek,,,,,,,,
Sassafras,,,,,,,,
Olinda,,950000.0,,,,1070000.0,,
Sherbrooke,,,,,,,,
Kallista,,,,,,,,
The Patch,,,,,,,,
Monbulk,,770000.0,,,,1100000.0,,
Silvan,,,,,,,,
Mount Evelyn,,785000.0,,,,925000.0,1024999.0,
Gilderoy,,,,,,,,
Gladysdale,,,,,,,,
Powelltown,,,,,,,,
Three Bridges,,,,,,,,
Yarra Junction,,685000.0,,,,910000.0,,
Big Pats Creek,,,,,,,,
East Warburton,,,,,,,,
Mcmahons Creek,,,,,,,,
Millgrove,,593000.0,,,,,,
Reefton,,,,,,,,
Warburton,,618000.0,,,,740000.0,,
Wesburn,,,,,,,,
Endeavour Hills,,752000.0,,565000.0,,880000.0,1014999.0,
Narre Warren East,,,,,,,,
Narre Warren North,,,,,,1650000.0,1845000.0,
Narre Warren,576000.0,703000.0,,500000.0,580000.0,811000.0,945000.0,
Narre Warren South,,709000.0,,,,860000.0,1000000.0,
Berwick,620000.0,755000.0,,563000.0,705000.0,950000.0,1234000.0,
Harkaway,,,,,,,,
Beaconsfield,,780000.0,,,,1010000.0,1400000.0,
Beaconsfield Upper,,,,,,,,
Officer,535000.0,633000.0,,,,771000.0,1040000.0,
Officer South,,,,,,804000.0,,
Pakenham,460000.0,606000.0,,450000.0,539000.0,700000.0,848000.0,
Pakenham South,,,,,,,,
Pakenham Upper,,,,,,,,
Maryknoll,,,,,,,,
Nar Nar Goon,,,,,,,,
Nar Nar Goon North,,,,,,,,
Tynong,,,,,,,,
Tynong North,,,,,,,,
Garfield,,673000.0,,,,810000.0,,
Bunyip,,692000.0,,,,717000.0,,
Iona,,,,,,,,
Longwarry,,550000.0,,,,600000.0,,
Modella,,,,,,,,
Athlone,,,,,,,,
Drouin,468000.0,555000.0,,405000.0,483000.0,680000.0,868000.0,
Drouin South,,,,,,,,
Drouin West,,,,,,,,
Jindivick,,,,,,,,
Ripplebrook,,,,,,,,
Lillico,,,,,,,,
Warragul,485000.0,585000.0,,430000.0,,710000.0,980000.0,
Buln Buln,,,,,,,,
Buln Buln East,,,,,,,,
Nilma,,,,,,,,
Seaview,,,,,,,,
Shady Creek,,,,,,,,
Warragul South,,,,,,,,
Darnum,,,,,,,,
Yarragon,,,,,,649000.0,,
Trafalgar,,505000.0,,,,655000.0,,
Trafalgar East,,,,,,,,
Trafalgar South,,,,,,,,
Erica,,,,,,,,
Moe,290000.0,369000.0,,245000.0,,530000.0,,
Newborough,313000.0,429000.0,,,,490000.0,,
Rawson,,,,,,,,
Tanjil South,,,,,,,,
Walhalla,,,,,,,,
Willow Grove,,,,,,,,
Yallourn,,,,,,,,
Yallourn North,,340000.0,,,,,,
Neerim,,,,,,,,
Neerim South,,628000.0,,,,670000.0,,
Icy Creek,,,,,,,,
Noojee,,,,,,,,
Tanjil Bren,,,,,,,,
Thorpdale,,,,,,,,
Driffield,,,,,,,,
Hazelwood,,,,,,,,
Hazelwood North,,,,,,968000.0,,
Hazelwood South,,,,,,,,
Jeeralang Junction,,,,,,,,
Morwell,255000.0,330000.0,,248000.0,,425000.0,471000.0,
Churchill,,347000.0,,,,445000.0,,
Callignee,,,,,,,,
Carrajung Lower,,,,,,,,
Koornalla,,,,,,,,
Traralgon,370000.0,465000.0,215000.0,315000.0,,617000.0,740000.0,
Traralgon East,,,,,,965000.0,,
Traralgon South,,,,,,,,
Tyers,,,,,,,,
Nambrok,,,,,,,,
Rosedale,,420000.0,,,,595000.0,,
Sale,348000.0,430000.0,,285000.0,,575000.0,,
Wurruk,,,,,,,,
Airly,,,,,,,,
Clydebank,,,,,,,,
Golden Beach,,,,,,,,
Loch Sport,315000.0,375000.0,,,,430000.0,,
Longford,,,,,,,,
Paradise Beach,,,,,,,,
Seaspray,,,,,,,,
Stradbroke,,,,,,,,
The Honeysuckles,,,,,,,,
Glengarry,,,,,,,,
Glengarry North,,,,,,,,
Toongabbie,,,,,,,,
Cowwarr,,,,,,,,
Denison,,,,,,,,
Glenmaggie,,,,,,,,
Heyfield,,335000.0,,,,773000.0,,
Newry,,,,,,,,
Briagolong,,,,,,,,
Coongulla,,,,,,,,
Maffra,340000.0,420000.0,,,,635000.0,,
Stratford,,450000.0,,,,540000.0,,
Lindenow,,,,,,,,
Yinnar,,455000.0,,,,,,
Yinnar South,,,,,,,,
Boolarra,,,,,,,,
Boolarra South,,,,,,,,
Allambee South,,,,,,,,
Mirboo North,,450000.0,,,,,,
Gormandale,,,,,,,,
Mcloughlins Beach,,,,,,,,
Woodside,,,,,,,,
Woodside Beach,,,,,,,,
Bairnsdale,345000.0,443000.0,,,,595000.0,,
Clifton Creek,,,,,,,,
East Bairnsdale,,325000.0,,,,,,
Ellaswood,,,,,,,,
Forge Creek,,,,,,,,
Granite Rock,,,,,,,,
Lindenow South,,,,,,,,
Lucknow,,,,,,600000.0,,
Mount Taylor,,,,,,,,
Newlands Arm,,,,,,,,
Sarsfield,,,,,,,,
Wy Yung,,,,,,810000.0,,
Eagle Point,,750000.0,,,,,,
Paynesville,405000.0,500000.0,,,,579000.0,,
Raymond Island,,505000.0,,,,,,
Nicholson,,,,,,,,
Bruthen,,,,,,,,
Buchan,,,,,,,,
Wiseleigh,,,,,,,,
Newmerella,,,,,,,,
Wairewa,,,,,,,,
Bendoc,,,,,,,,
Marlo,,,,,,,,
Orbost,,344000.0,,,,,,
Bemm River,,,,,,,,
Cabbage Tree Creek,,,,,,,,
Club Terrace,,,,,,,,
Cann River,,,,,,,,
Gipsy Point,,,,,,,,
Mallacoota,,,,,,,,
Swifts Creek,,,,,,,,
Dinner Plain,,,,,,,,
Omeo,,,,,,,,
Benambra,,,,,,,,
Bumberrah,,,,,,,,
Johnsonville,,,,,,,,
Swan Reach,,,,,,,,
Metung,,660000.0,,,,943000.0,,
Kalimna,,385000.0,,,,,,
Lake Bunga,,,,,,,,
Lake Tyers Beach,,,,,,,,
Lakes Entrance,,526000.0,,320000.0,,568000.0,,
Nungurner,,,,,,,,
Toorloo Arm,,,,,,,,
Langwarrin,530000.0,748000.0,,539000.0,615000.0,922000.0,1183000.0,
Baxter,,673000.0,,,,,,
Pearcedale,,753000.0,,,,965000.0,,
Somerville,,738000.0,,500000.0,620000.0,1000000.0,960000.0,
Tyabb,,681000.0,,,,940000.0,,
Hastings,510000.0,630000.0,,465000.0,635000.0,800000.0,,
Tuerong,,,,,,,,
Merricks,,,,,,,,
Shoreham,,,,,,,,
Bittern,,720000.0,,,,960000.0,,
Crib Point,,675000.0,,,,815000.0,,
French Island,,,,,,,,
Cowes,555000.0,690000.0,,515000.0,735000.0,822000.0,993000.0,
Silverleaves,,,,,,,,
Smiths Beach,,,,,,,,
Sunderland Bay,,,,,,,,
Sunset Strip,,,,,,,,
Surf Beach,,,,,,,,
Ventnor,,771000.0,,,,955000.0,,
Wimbledon Heights,,,,,,,,
Rhyll,,,,,,,,
Cape Woolamai,611000.0,728000.0,,,,1088000.0,,
Newhaven,,,,,,,,
San Remo,,870000.0,,,,1050000.0,,
Balnarring,,1268000.0,,,,1390000.0,,
Balnarring Beach,,,,,,,,
Merricks Beach,,,,,,,,
Somers,,1215000.0,,,,1600000.0,,
Main Ridge,,,,,,,,
Flinders,,,,,,4099999.0,,
Mount Eliza,,1368000.0,,675000.0,1115000.0,1645000.0,2225000.0,
Mornington,715000.0,958000.0,,650000.0,975000.0,1310000.0,1600000.0,
Mount Martha,,1010000.0,,,835000.0,1632000.0,2188000.0,
Arthurs Seat,,,,,,,,
Dromana,805000.0,900000.0,,,649000.0,1195000.0,1780000.0,
Safety Beach,,1050000.0,,760000.0,1203000.0,1361000.0,,
Red Hill,,,,,,,,
Red Hill South,,,,,,,,
Mccrae,,1175000.0,,,,1600000.0,,
Boneo,,,,,,,,
Cape Schanck,,,,,,1928000.0,,
Fingal,,,,,,,,
Rosebud,644000.0,745000.0,,603000.0,685000.0,1000999.0,1201000.0,
Rye,745000.0,960000.0,,,,1350000.0,1625000.0,
St Andrews Beach,,,,,,,,
Tootgarook,,845000.0,,,,1165000.0,,
